url,status,content_type,bytes,local_path
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2300/2326,200,application/pdf,3061738,raw/afo/index.php/afo/article/download/2300/2326.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2299/2325,200,application/pdf,1106717,raw/afo/index.php/afo/article/download/2299/2325.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2298/2324,200,application/pdf,1384445,raw/afo/index.php/afo/article/download/2298/2324.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2297/2323,200,application/pdf,529237,raw/afo/index.php/afo/article/download/2297/2323.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2296/2322,200,application/pdf,3475300,raw/afo/index.php/afo/article/download/2296/2322.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2295/2321,200,application/pdf,437829,raw/afo/index.php/afo/article/download/2295/2321.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2294/2320,200,application/pdf,2138174,raw/afo/index.php/afo/article/download/2294/2320.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2293/2319,200,application/pdf,4886034,raw/afo/index.php/afo/article/download/2293/2319.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2292/2318,200,application/pdf,197217,raw/afo/index.php/afo/article/download/2292/2318.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2291/2317,200,application/pdf,3277561,raw/afo/index.php/afo/article/download/2291/2317.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2290/2316,200,application/pdf,252032,raw/afo/index.php/afo/article/download/2290/2316.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2289/2315,200,application/pdf,1359329,raw/afo/index.php/afo/article/download/2289/2315.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2288/2314,200,application/pdf,350195,raw/afo/index.php/afo/article/download/2288/2314.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2287/2313,200,application/pdf,4762356,raw/afo/index.php/afo/article/download/2287/2313.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2286/2312,200,application/pdf,3751439,raw/afo/index.php/afo/article/download/2286/2312.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2285/2311,200,application/pdf,1210215,raw/afo/index.php/afo/article/download/2285/2311.html
