url,status,title,description,word_count,local_path
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2407/2441,200,Photographs and observations suggest Variegated Fairy-wren  Malurus lamberti  × Superb Fairy-wren  M. cyaneus  hybridisation  | Boersma | Australian Field Ornithology, Photographs and observations suggest Variegated Fairy-wren  Malurus lamberti  × Superb Fairy-wren  M. cyaneus  hybridisation ,90,raw/afo/index.php/afo/article/view/2407/2441.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2406,200,Targeted bioacoustic surveys detect Plains-wanderers  Pedionomus torquatus  in Melbourne’s Western Grasslands  | Grinter | Australian Field Ornithology, Targeted bioacoustic surveys detect Plains-wanderers  Pedionomus torquatus  in Melbourne’s Western Grasslands ,252,raw/afo/index.php/afo/article/view/2406.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2406/2440,200,Targeted bioacoustic surveys detect Plains-wanderers  Pedionomus torquatus  in Melbourne’s Western Grasslands  | Grinter | Australian Field Ornithology, Targeted bioacoustic surveys detect Plains-wanderers  Pedionomus torquatus  in Melbourne’s Western Grasslands ,90,raw/afo/index.php/afo/article/view/2406/2440.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2405,200,Observation of a Letter-winged Kite  Elanus scriptus  consuming avian prey  | Terrington | Australian Field Ornithology, Observation of a Letter-winged Kite  Elanus scriptus  consuming avian prey ,110,raw/afo/index.php/afo/article/view/2405.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2405/2439,200,Observation of a Letter-winged Kite  Elanus scriptus  consuming avian prey  | Terrington | Australian Field Ornithology, Observation of a Letter-winged Kite  Elanus scriptus  consuming avian prey ,90,raw/afo/index.php/afo/article/view/2405/2439.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2404,200,Edge-of-range camera-trap records of Superb Lyrebird  Menura novaehollandiae  in western and central-north Tasmania (2018–2025)  | Brook | Australian Field Ornithology, Edge-of-range camera-trap records of Superb Lyrebird  Menura novaehollandiae  in western and central-north Tasmania (2018–2025) ,263,raw/afo/index.php/afo/article/view/2404.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2404/2438,200,Edge-of-range camera-trap records of Superb Lyrebird  Menura novaehollandiae  in western and central-north Tasmania (2018–2025)  | Brook | Australian Field Ornithology, Edge-of-range camera-trap records of Superb Lyrebird  Menura novaehollandiae  in western and central-north Tasmania (2018–2025) ,90,raw/afo/index.php/afo/article/view/2404/2438.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2403,200,"Second nest of the Bougainville Honeyeater  Stresemannia  bougainvillei , with the first description of a nest in situ, and   some new findings regarding its elevational distribution  | Schmidt | Australian Field Ornithology"," Second nest of the Bougainville Honeyeater  Stresemannia  bougainvillei , with the first description of a nest in situ, and   some new findings regarding its elevational distribution ",75,raw/afo/index.php/afo/article/view/2403.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2403/2437,200,"Second nest of the Bougainville Honeyeater  Stresemannia  bougainvillei , with the first description of a nest in situ, and   some new findings regarding its elevational distribution  | Schmidt | Australian Field Ornithology"," Second nest of the Bougainville Honeyeater  Stresemannia  bougainvillei , with the first description of a nest in situ, and   some new findings regarding its elevational distribution ",90,raw/afo/index.php/afo/article/view/2403/2437.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2402,200,Cooperative breeding in Morotai Paradise Kingfisher  Tanysiptera doris   | Berryman | Australian Field Ornithology, Cooperative breeding in Morotai Paradise Kingfisher  Tanysiptera doris  ,161,raw/afo/index.php/afo/article/view/2402.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2402/2436,200,Cooperative breeding in Morotai Paradise Kingfisher  Tanysiptera doris   | Berryman | Australian Field Ornithology, Cooperative breeding in Morotai Paradise Kingfisher  Tanysiptera doris  ,90,raw/afo/index.php/afo/article/view/2402/2436.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2401,200,Further dietary samples of the Eastern Barn Owl  Tyto javanica delicatula  from the eastern Australian arid zone  | Debus | Australian Field Ornithology, Further dietary samples of the Eastern Barn Owl  Tyto javanica delicatula  from the eastern Australian arid zone ,166,raw/afo/index.php/afo/article/view/2401.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2401/2435,200,Further dietary samples of the Eastern Barn Owl  Tyto javanica delicatula  from the eastern Australian arid zone  | Debus | Australian Field Ornithology, Further dietary samples of the Eastern Barn Owl  Tyto javanica delicatula  from the eastern Australian arid zone ,90,raw/afo/index.php/afo/article/view/2401/2435.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2400,200,Use of anthropogenic material for extended ornamented phenotype in two fairy-wren species  | Salett | Australian Field Ornithology, Use of anthropogenic material for extended ornamented phenotype in two fairy-wren species ,178,raw/afo/index.php/afo/article/view/2400.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2400/2434,200,Use of anthropogenic material for extended ornamented phenotype in two fairy-wren species  | Salett | Australian Field Ornithology, Use of anthropogenic material for extended ornamented phenotype in two fairy-wren species ,90,raw/afo/index.php/afo/article/view/2400/2434.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2399,200,"Book review - Australian Hawks and Eagles: A window into the hidden world of raptors, including bazas, buzzards, harriers, kites and ospreys  | Debus | Australian Field Ornithology"," Book review - Australian Hawks and Eagles: A window into the hidden world of raptors, including bazas, buzzards, harriers, kites and ospreys ",35,raw/afo/index.php/afo/article/view/2399.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2399/2433,200,"Book review - Australian Hawks and Eagles: A window into the hidden world of raptors, including bazas, buzzards, harriers, kites and ospreys  | Debus | Australian Field Ornithology"," Book review - Australian Hawks and Eagles: A window into the hidden world of raptors, including bazas, buzzards, harriers, kites and ospreys ",90,raw/afo/index.php/afo/article/view/2399/2433.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2398,200,"The precarious status of the Endangered Forty-spotted Pardalote  Pardalotus quadragintus  on Flinders Island, Tasmania  | Bryant | Australian Field Ornithology"," The precarious status of the Endangered Forty-spotted Pardalote  Pardalotus quadragintus  on Flinders Island, Tasmania ",181,raw/afo/index.php/afo/article/view/2398.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2398/2432,200,"The precarious status of the Endangered Forty-spotted Pardalote  Pardalotus quadragintus  on Flinders Island, Tasmania  | Bryant | Australian Field Ornithology"," The precarious status of the Endangered Forty-spotted Pardalote  Pardalotus quadragintus  on Flinders Island, Tasmania ",90,raw/afo/index.php/afo/article/view/2398/2432.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2397,200,Fatal collision of a White-throated Needletail  Hirundapus caudacutus  with a high-voltage powerline in central Queensland  | Jensen | Australian Field Ornithology, Fatal collision of a White-throated Needletail  Hirundapus caudacutus  with a high-voltage powerline in central Queensland ,139,raw/afo/index.php/afo/article/view/2397.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2397/2431,200,Fatal collision of a White-throated Needletail  Hirundapus caudacutus  with a high-voltage powerline in central Queensland  | Jensen | Australian Field Ornithology, Fatal collision of a White-throated Needletail  Hirundapus caudacutus  with a high-voltage powerline in central Queensland ,90,raw/afo/index.php/afo/article/view/2397/2431.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2396,200,Automated monitoring of the occurrence and flight behaviours of White-throated Needletails  Hirundapus caudacutus caudacutus  at an operational wind farm in Tasmania  | Reid | Australian Field Ornithology, Automated monitoring of the occurrence and flight behaviours of White-throated Needletails  Hirundapus caudacutus caudacutus  at an operational wind farm in Tasmania ,293,raw/afo/index.php/afo/article/view/2396.html
