old_url,new_url_TODO,title
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2399/2433,,"Book review - Australian Hawks and Eagles: A window into the hidden world of raptors, including bazas, buzzards, harriers, kites and ospreys  | Debus | Australian Field Ornithology"
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2398,,"The precarious status of the Endangered Forty-spotted Pardalote  Pardalotus quadragintus  on Flinders Island, Tasmania  | Bryant | Australian Field Ornithology"
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2398/2432,,"The precarious status of the Endangered Forty-spotted Pardalote  Pardalotus quadragintus  on Flinders Island, Tasmania  | Bryant | Australian Field Ornithology"
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2397,,Fatal collision of a White-throated Needletail  Hirundapus caudacutus  with a high-voltage powerline in central Queensland  | Jensen | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2397/2431,,Fatal collision of a White-throated Needletail  Hirundapus caudacutus  with a high-voltage powerline in central Queensland  | Jensen | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2396,,Automated monitoring of the occurrence and flight behaviours of White-throated Needletails  Hirundapus caudacutus caudacutus  at an operational wind farm in Tasmania  | Reid | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2396/2430,,Automated monitoring of the occurrence and flight behaviours of White-throated Needletails  Hirundapus caudacutus caudacutus  at an operational wind farm in Tasmania  | Reid | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2395,,Nesting biology of the Wet Tropics endemic Fernwren  Oreoscopus gutturalis   | Frith | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2395/2429,,Nesting biology of the Wet Tropics endemic Fernwren  Oreoscopus gutturalis   | Frith | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2394,,"Studies of ibises in Victoria, III: Sexual dimorphism, sex ratio, breeding season, reproductive success, mating patterns, site fidelity, movements and survival of Australian White Ibis at three locations in southern Victoria  | Lowe | Australian Field Ornithology"
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2394/2428,,"Studies of ibises in Victoria, III: Sexual dimorphism, sex ratio, breeding season, reproductive success, mating patterns, site fidelity, movements and survival of Australian White Ibis at three locations in southern Victoria  | Lowe | Australian Field Ornithology"
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2393,,Ship-assisted displacement of a Great Cormorant  Phalacrocorax carbo  and vagrant birds of subantarctic Macquarie Island  | Sojitra | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2393/2427,,Ship-assisted displacement of a Great Cormorant  Phalacrocorax carbo  and vagrant birds of subantarctic Macquarie Island  | Sojitra | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2391,,First description and photograph of the juvenile plumage of the New Britain Goshawk  Tachyspiza princeps   | Quelennec | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2391/2425,,First description and photograph of the juvenile plumage of the New Britain Goshawk  Tachyspiza princeps   | Quelennec | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2390,,A regular commensal foraging interaction between cranes and raptors on the Gulf Plains of north-western Queensland  | Grant | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2390/2424,,A regular commensal foraging interaction between cranes and raptors on the Gulf Plains of north-western Queensland  | Grant | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2389,,A Laughing Kookaburra assists in raising Blue-winged Kookaburras’ offspring  | Frith | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2389/2423,,A Laughing Kookaburra assists in raising Blue-winged Kookaburras’ offspring  | Frith | Australian Field Ornithology
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2388,,Agonistic behaviour of the Red Wattlebird  Anthochaera carunculata  towards an elapid snake  | Mo | Australian Field Ornithology
